"V1" "V2" "V3"
"262" "Fbxo38" "Fbxo38" "Fbxo38"
"263" "Irak3" "Irak3" "Irak3"
"264" "Tceb2" "Tceb2" "Tceb2"
"265" "Dnajb14" "Dnajb14" "Dnajb14"
"266" "Slc41a3" "Slc41a3" "Slc41a3"
"267" "Rab10" "Rab10" "Rab10"
"268" "Cdh3" "Cdh3" "Cdh3"
"269" "Prss33" "Prss33" "Prss33"
"270" "Ccnd3" "Ccnd3" "Ccnd3"
"271" "Gm9844" "Tmsb10" "Gm9844"
"272" "Ube2u" "Ube2u" "Ube2u"
"273" "Mitd1" "Mitd1" "Mitd1"
"274" "Eif2s3y" "Eif2s3y" "Eif2s3y"
"275" "Lypd4" "Lypd4" "Lypd4"
"276" "Ifit2" "Ifit2" "Ifit2"
"277" "Adamtsl5" "Adamtsl5" "Adamtsl5"
"278" "Habp2" "Habp2" "Habp2"
"279" "Kif3c" "Kif3c" "Kif3c"
"280" "Tmem11" "Tmem11" "Tmem11"
"281" "Actr5" "Actr5" "Actr5"
"282" "Dcp1b" "Dcp1b" "Dcp1b"
"283" "Riok3" "Riok3" "Riok3"
"284" "Sdhd" "Sdhd" "Sdhd"
"285" "Nucks1" "Nucks1" "Nucks1"
"286" "En2" "En2" "En2"
"287" "Ifit3" "Ifit3" "Ifit3"
"288" "Csprs" "Csprs" "Csprs"
"289" "Arf5" "Arf5" "Arf5"
"290" "Ccne1" "Ccne1" "Ccne1"
"291" "Tmem123" "Tmem123" "Tmem123"
"292" "Col19a1" "Col19a1" "Col19a1"
"293" "Abhd13" "Abhd13" "Abhd13"
"294" "Plxdc2" "Plxdc2" "Plxdc2"
"295" "4932411N23Rik" "4932411N23Rik" "4932411N23Rik"
"296" "Iqcd" "Iqcd" "Iqcd"
"297" "Naca" "Naca" "Naca"
"298" "Slc45a3" "Slc45a3" "Slc45a3"
"299" "AU019823" "AU019823" "AU019823"
"300" "Gm382" "Gm382" "Gm382"
"301" "Prmt3" "Prmt3" "Prmt3"
"302" "Dyx1c1" "Dyx1c1" "Dyx1c1"
"303" "Rhox10" "Rhox10" "Rhox10"
"304" "Vamp4" "Vamp4" "Vamp4"
"305" "Myo1b" "Myo1b" "Myo1b"
"306" "Dok7" "Dok7" "Dok7"
"307" "Socs2" "Socs2" "Socs2"
"308" "Stt3a" "Stt3a" "Stt3a"
"309" "Acot8" "Acot8" "Acot8"
"310" "2010002M12Rik" "2010002M12Rik" "2010002M12Rik"
"311" "Prss32" "Prss32" "Prss32"
"312" "Zfp426" "Zfp426" "Zfp426"
"313" "Asxl2" "Asxl2" "Asxl2"
"314" "Elk4" "Elk4" "Elk4"
"315" "Gnl3" "Gnl3" "Gnl3"
"316" "Rhox11" "Rhox11" "Rhox11"
"317" "Map2k3" "Map2k3" "Map2k3"
"318" "Rcor1" "Rcor1" "Rcor1"
"319" "Rassf6" "Rassf6" "Rassf6"
"320" "Ccdc28b" "Ccdc28b" "Ccdc28b"
"321" "Diap2" "Diap2" "Diap2"
"322" "Mrpl30" "Mrpl30" "Mrpl30"
"323" "" "Cd99" "CAAA01147332.1"
"324" "Xpo4" "Xpo4" "Xpo4"
"325" "Ifit1" "Ifit1" "Ifit1"
"326" "Park7" "Park7" "Park7"
"327" "Prss21" "Prss21" "Prss21"
"328" "Myoc" "Myoc" "Myoc"
"329" "Cd302" "Cd302" "Cd302"
"330" "Hao1" "Hao1" "Hao1"
"331" "Sp6" "Sp6" "Sp6"
"332" "Dmrtc2" "Dmrtc2" "Dmrtc2"
"333" "Rps13" "Rps13" "Rps13"
"334" "Olfr720" "Olfr720" "Olfr720"
"335" "Uty" "Uty" "Uty"
"336" "Igsf3" "Igsf3" "Igsf3"
"337" "Trim62" "Trim62" "Trim62"
"338" "Fnbp4" "Fnbp4" "Fnbp4"
"339" "Olfr31" "Olfr31" "Olfr31"
"340" "Zbtb33" "Zbtb33" "Zbtb33"
"341" "Gprc5d" "Gprc5d" "Gprc5d"
"342" "Osgep" "Osgep" "Osgep"
"343" "Scrn2" "Scrn2" "Scrn2"
"344" "Zswim3" "Zswim3" "Zswim3"
"345" "Tex21" "Tex21" "Tex21"
"346" "Cxcl5" "Cxcl5" "Cxcl5"
"347" "Rpgr" "Rpgr" "Rpgr"
"348" "Hipk3" "Hipk3" "Hipk3"
"349" "1110008J03Rik" "1110008J03Rik" "1110008J03Rik"
"350" "Pik3c2a" "Pik3c2a" "Pik3c2a"
"351" "Slc16a12" "Slc16a12" "Slc16a12"
"352" "Mrps21" "Mrps21" "Mrps21"
"353" "Ryr3" "Ryr3" "Ryr3"
"354" "Traf3" "Traf3" "Traf3"
"355" "1700018C11Rik" "1700018C11Rik" "1700018C11Rik"
"356" "Col6a1" "Col6a1" "Col6a1"
"357" "Zfp513" "Zfp513" "Zfp513"
"358" "Bysl" "Bysl" "Bysl"
"359" "Cacna2d2" "Cacna2d2" "Cacna2d2"
"360" "Rps19" "Rps19" "Rps19"
"361" "Timp2" "Timp2" "Timp2"
"362" "2210018M11Rik" "2210018M11Rik" "2210018M11Rik"
"363" "Mthfd1" "Mthfd1" "Mthfd1"
"364" "Ptges3" "Ptges3" "Ptges3"
"365" "Cdh1" "Cdh1" "Cdh1"
"366" "Tnfsf15" "Tnfsf15" "Tnfsf15"
"367" "Ppp1r16b" "Ppp1r16b" "Ppp1r16b"
"368" "Crat" "Crat" "Crat"
"369" "Zcchc6" "Zcchc6" "Zcchc6"
"370" "Sbp" "Sbp" "Sbp"
"371" "Dgcr8" "Dgcr8" "Dgcr8"
"372" "Ppyr1" "Ppyr1" "Ppyr1"
"373" "Cachd1" "Cachd1" "Cachd1"
"374" "Larp6" "Larp6" "Larp6"
"375" "Dtnb" "Dtnb" "Dtnb"
"376" "Myadm" "Myadm" "Myadm"
"377" "Gprin2" "Gprin2" "Gprin2"
"378" "Mrrf" "Mrrf" "Mrrf"
"379" "Ddx54" "Ddx54" "Ddx54"
"380" "Chchd5" "Chchd5" "Chchd5"
"381" "Uaca" "Uaca" "Uaca"
"382" "Adc" "Adc" "Adc"
"383" "Fscn3" "Fscn3" "Fscn3"
"384" "Eln" "Eln" "Eln"
"385" "3110002H16Rik" "3110002H16Rik" "3110002H16Rik"
"386" "Pank1" "Pank1" "Pank1"
"387" "Cldn13" "Cldn13" "Cldn13"
"388" "Hyi" "Hyi" "Hyi"
"389" "Adsl" "Adsl" "Adsl"
"390" "Hebp1" "Hebp1" "Hebp1"
"391" "Camp" "Camp" "Camp"
"392" "Usp49" "Usp49" "Usp49"
"393" "Kl" "Kl" "Kl"
"394" "Rgs19" "Rgs19" "Rgs19"
"395" "Ube2h" "Ube2h" "Ube2h"
"396" "Ccl21b" "Ccl21b" "Ccl21b"
"397" "Serping1" "Serping1" "Serping1"
"398" "Tbx18" "Tbx18" "Tbx18"
"399" "Zfpl1" "Zfpl1" "Zfpl1"
"400" "Wbscr27" "Wbscr27" "Wbscr27"
"401" "Atp1a1" "Atp1a1" "Atp1a1"
"402" "Myo3b" "Myo3b" "Myo3b"
"403" "Wnk2" "Wnk2" "Wnk2"
"404" "Zswim1" "Zswim1" "Zswim1"
"405" "Tspyl1" "Tspyl1" "Tspyl1"
"406" "Cacng7" "Cacng7" "Cacng7"
"407" "Stard13" "Stard13" "Stard13"
"408" "1600014C10Rik" "1600014C10Rik" "1600014C10Rik"
"409" "Cdc25a" "Cdc25a" "Cdc25a"
"410" "Atp1b4" "Atp1b4" "Atp1b4"
"411" "Gm10591" "Ccl21b" "Gm10591"
"412" "Nt5dc1" "Nt5dc1" "Nt5dc1"
"413" "Zbtb25" "Zbtb25" "Zbtb25"
"414" "Pabpn1" "Pabpn1" "Pabpn1"
"415" "Cacng8" "Cacng8" "Cacng8"
"416" "Zbtb38" "Zbtb38" "Zbtb38"
"417" "Tnfsf13b" "Tnfsf13b" "Tnfsf13b"
"418" "Mfap2" "Mfap2" "Mfap2"
"419" "Il11ra2" "Il11ra2" "Il11ra2"
"420" "Kcnj12" "Kcnj12" "Kcnj12"
"421" "Ddx3y" "Ddx3y" "Ddx3y"
"422" "Slc4a7" "Slc4a7" "Slc4a7"
"423" "8430419L09Rik" "8430419L09Rik" "8430419L09Rik"
"424" "Nrap" "Nrap" "Nrap"
"425" "Ocel1" "Ocel1" "Ocel1"
"426" "Ccl19" "Ccl19" "Ccl19"
"427" "Syt15" "Syt15" "Syt15"
"428" "Tnmd" "Tnmd" "Tnmd"
"429" "Napg" "Napg" "Napg"
"430" "Pdrg1" "Pdrg1" "Pdrg1"
"431" "Gpr75" "Gpr75" "Gpr75"
"432" "Cxcl1" "Cxcl1" "Cxcl1"
"433" "Neurl2" "Neurl2" "Neurl2"
"434" "Tnfrsf13b" "Tnfrsf13b" "Tnfrsf13b"
"435" "Prss22" "Prss22" "Prss22"
"436" "Cacna2d4" "Cacna2d4" "Cacna2d4"
"437" "Slc6a5" "Slc6a5" "Slc6a5"
"438" "Calr" "Calr" "Calr"
"439" "Cxcl2" "Cxcl2" "Cxcl2"
"440" "Cd79a" "Cd79a" "Cd79a"
"441" "Prss27" "Prss27" "Prss27"
"442" "Frs3" "Frs3" "Frs3"
"443" "Birc2" "Birc2" "Birc2"
"444" "Zfp142" "Zfp142" "Zfp142"
"445" "Iqsec1" "Iqsec1" "Iqsec1"
"446" "Lamp2" "Lamp2" "Lamp2"
"447" "Kctd5" "Kctd5" "Kctd5"
"448" "B230120H23Rik" "B230120H23Rik" "B230120H23Rik"
"449" "Tspan6" "Tspan6" "Tspan6"
"450" "Phyhipl" "Phyhipl" "Phyhipl"
"451" "Pla2g1b" "Pla2g1b" "Pla2g1b"
"452" "Lrpap1" "Lrpap1" "Lrpap1"
"453" "Plekhf1" "Plekhf1" "Plekhf1"
"454" "Recql5" "Recql5" "Recql5"
"455" "Epgn" "Epgn" "Epgn"
"456" "Slc2a6" "Slc2a6" "Slc2a6"
"457" "Ndufa3" "Ndufa3" "Ndufa3"
"458" "Birc3" "Birc3" "Birc3"
"459" "Usp22" "Usp22" "Usp22"
"460" "Fmo4" "Fmo4" "Fmo4"
"461" "Atp5b" "Atp5b" "Atp5b"
"462" "Lrrc46" "Lrrc46" "Lrrc46"
"463" "Rhbdd3" "Rhbdd3" "Rhbdd3"
"464" "Arvcf" "Arvcf" "Arvcf"
"465" "Inmt" "Inmt" "Inmt"
"466" "4933409G03Rik" "4933409G03Rik" "4933409G03Rik"
"467" "BC049635" "BC049635" "BC049635"
"468" "Pgc" "Pgc" "Pgc"
"469" "Zbtb1" "Zbtb1" "Zbtb1"
"470" "Pax4" "Pax4" "Pax4"
"471" "Slc20a1" "Slc20a1" "Slc20a1"
"472" "Rfc3" "Rfc3" "Rfc3"
"473" "Txndc9" "Txndc9" "Txndc9"
"474" "Tfpt" "Tfpt" "Tfpt"
"475" "Gfra4" "Gfra4" "Gfra4"
"476" "Mrpl10" "Mrpl10" "Mrpl10"
"477" "Plekhg6" "Plekhg6" "Plekhg6"
"478" "Afg3l1" "Afg3l1" "Afg3l1"
"479" "Hspa2" "Hspa2" "Hspa2"
"480" "Arhgef1" "Arhgef1" "Arhgef1"
"481" "Pdpk1" "Pdpk1" "Pdpk1"
"482" "Dnmt3a" "Dnmt3a" "Dnmt3a"
"483" "Zfml" "Zfml" "Zfml"
"484" "Prkrir" "Prkrir" "Prkrir"
"485" "Cldn4" "Cldn4" "Cldn4"
"486" "Fmo1" "Fmo1" "Fmo1"
"487" "Srpx2" "Srpx2" "Srpx2"
"488" "N28178" "N28178" "N28178"
"489" "Lmbrd1" "Lmbrd1" "Lmbrd1"
"490" "Gmnn" "Gmnn" "Gmnn"
"491" "Plekhg3" "Plekhg3" "Plekhg3"
"492" "Wdtc1" "Wdtc1" "Wdtc1"
"493" "Abhd11" "Abhd11" "Abhd11"
"494" "Postn" "Postn" "Postn"
"495" "Troap" "Troap" "Troap"
"496" "BC028528" "BC028528" "BC028528"
"497" "Dapp1" "Dapp1" "Dapp1"
"498" "Speer3" "Speer3" "Speer3"
"499" "Gas1" "Gas1" "Gas1"
"500" "Tiam2" "Tiam2" "Tiam2"
"501" "Sspo" "Sspo" "Sspo"
"502" "Nt5e" "Nt5e" "Nt5e"
"503" "Hapln1" "Hapln1" "Hapln1"
"504" "Sry" "Sry" "Sry"
"505" "Cdca5" "Cdca5" "Cdca5"
"506" "Prpf31" "Prpf31" "Prpf31"
"507" "C1ql4" "C1ql4" "C1ql4"
"508" "Ccpg1" "Ccpg1" "Ccpg1"
"509" "Nsun7" "Nsun7" "Nsun7"
"510" "Neil3" "Neil3" "Neil3"
"511" "Ptgs1" "Ptgs1" "Ptgs1"
"512" "Dapk1" "Dapk1" "Dapk1"
"513" "Ap2a2" "Ap2a2" "Ap2a2"
"514" "Eif5b" "Eif5b" "Eif5b"
"515" "Lemd1" "Lemd1" "Lemd1"
"516" "Mrpl3" "Mrpl3" "Mrpl3"
"517" "Zbtb7b" "Zbtb7b" "Zbtb7b"
"518" "Ucp1" "Ucp1" "Ucp1"
"519" "Aldh3a1" "Aldh3a1" "Aldh3a1"
"520" "Dlat" "Dlat" "Dlat"
"521" "Amn" "Amn" "Amn"
"522" "Klhdc8a" "Klhdc8a" "Klhdc8a"
"523" "Zswim6" "Zswim6" "Zswim6"
"524" "Phldb1" "Phldb1" "Phldb1"
"525" "Fmo2" "Fmo2" "Fmo2"
"526" "Spats2" "Spats2" "Spats2"
"527" "Elmod2" "Elmod2" "Elmod2"
"528" "Osbpl7" "Osbpl7" "Osbpl7"
"529" "Nuak2" "Nuak2" "Nuak2"
"530" "Uvrag" "Uvrag" "Uvrag"
"531" "Ube2n" "Ube2n" "Ube2n"
"532" "Aph1a" "Aph1a" "Aph1a"
"533" "Naaladl1" "Naaladl1" "Naaladl1"
"534" "Bcs1l" "Bcs1l" "Bcs1l"
"535" "Trp53i11" "Trp53i11" "Trp53i11"
"536" "4930526D03Rik" "4930526D03Rik" "4930526D03Rik"
"537" "Sytl4" "Sytl4" "Sytl4"
"538" "Aatf" "Aatf" "Aatf"
"539" "Sema3e" "Sema3e" "Sema3e"
"540" "Fmo6" "Fmo6" "Fmo6"
"541" "Extl3" "Extl3" "Extl3"
"542" "Ereg" "Ereg" "Ereg"
"543" "Fmo3" "Fmo3" "Fmo3"
"544" "Nr2f6" "Nr2f6" "Nr2f6"
"545" "Kcnh3" "Kcnh3" "Kcnh3"
"546" "Sirt4" "Sirt4" "Sirt4"
"547" "Dgat2" "Dgat2" "Dgat2"
"548" "Rasal1" "Rasal1" "Rasal1"
"549" "Lgals3bp" "Lgals3bp" "Lgals3bp"
"550" "Nudt4" "Nudt4" "Nudt4"
"551" "Aldh3a2" "Aldh3a2" "Aldh3a2"
