"V1" "V2" "V3"
"6790" "Spo11" "Spo11" "Spo11"
"6791" "Pi16" "Pi16" "Pi16"
"6792" "Disp1" "Disp1" "Disp1"
"6793" "Cnga4" "Cnga4" "Cnga4"
"6794" "Rpusd3" "Rpusd3" "Rpusd3"
"6795" "Alpi" "Alpi" "Alpi"
"6796" "Amigo3" "Amigo3" "Amigo3"
"6797" "Ahcy" "Ahcy" "Ahcy"
"6798" "Setbp1" "Setbp1" "Setbp1"
"6799" "Hyal4" "Hyal4" "Hyal4"
"6800" "Ptplb" "Ptplb" "Ptplb"
"6801" "Akp3" "Akp3" "Akp3"
"6802" "Pkd1l1" "Pkd1l1" "Pkd1l1"
"6803" "Dnahc10" "Dnahc10" "Dnahc10"
"6804" "Ugt3a2" "Ugt3a2" "Ugt3a2"
"6805" "Lrp1b" "Lrp1b" "Lrp1b"
"6806" "Olfr1391" "Olfr1391" "Olfr1391"
"6807" "Cltb" "Cltb" "Cltb"
"6808" "Cd8b1" "Cd8b1" "Cd8b1"
"6809" "Cckbr" "Cckbr" "Cckbr"
"6810" "Cdr2l" "Cdr2l" "Cdr2l"
"6811" "Adcy5" "Adcy5" "Adcy5"
"6812" "Gmfg" "Gmfg" "Gmfg"
"6813" "Spam1" "Spam1" "Spam1"
"6814" "Ywhah" "Ywhah" "Ywhah"
"6815" "Pard6g" "Pard6g" "Pard6g"
"6816" "Slc2a8" "Slc2a8" "Slc2a8"
"6817" "Capsl" "Capsl" "Capsl"
"6818" "Hyal5" "Hyal5" "Hyal5"
"6819" "Itgav" "Itgav" "Itgav"
"6820" "Cd164" "Cd164" "Cd164"
"6821" "Mtch1" "Mtch1" "Mtch1"
"6822" "Il7r" "Il7r" "Il7r"
"6823" "Olfr1388" "Olfr1388" "Olfr1388"
"6824" "Ecel1" "Ecel1" "Ecel1"
"6825" "Ociad2" "Ociad2" "Ociad2"
"6826" "Pkdrej" "Pkdrej" "Pkdrej"
"6827" "Chd8" "Chd8" "Chd8"
"6828" "Upb1" "Upb1" "Upb1"
"6829" "Megf11" "Megf11" "Megf11"
"6830" "Setd1a" "Setd1a" "Setd1a"
"6831" "Olfr1387" "Olfr1387" "Olfr1387"
"6832" "Cd44" "Cd44" "Cd44"
"6833" "Dlx6" "Dlx6" "Dlx6"
"6834" "Irak1" "Irak1" "Irak1"
"6835" "Mst1" "Mst1" "Mst1"
"6836" "Scfd1" "Scfd1" "Scfd1"
"6837" "Pkd2l1" "Pkd2l1" "Pkd2l1"
"6838" "Ralgps2" "Ralgps2" "Ralgps2"
"6839" "Tfdp2" "Tfdp2" "Tfdp2"
"6840" "Cd37" "Cd37" "Cd37"
"6841" "Rbpms" "Rbpms" "Rbpms"
"6842" "Tsc1" "Tsc1" "Tsc1"
"6843" "Sec22a" "Sec22a" "Sec22a"
"6844" "Foxp1" "Foxp1" "Foxp1"
"6845" "Cd8a" "Cd8a" "Cd8a"
"6846" "Spag9" "Spag9" "Spag9"
"6847" "Tomm40" "Tomm40" "Tomm40"
"6848" "Angel1" "Angel1" "Angel1"
"6849" "Lrfn1" "Lrfn1" "Lrfn1"
"6850" "Ict1" "Ict1" "Ict1"
"6851" "Qpct" "Qpct" "Qpct"
"6852" "Pdia5" "Pdia5" "Pdia5"
"6853" "Rnf157" "Rnf157" "Rnf157"
"6854" "1700001L19Rik" "1700001L19Rik" "1700001L19Rik"
"6855" "Fgd2" "Fgd2" "Fgd2"
"6856" "Cyp20a1" "Cyp20a1" "Cyp20a1"
"6857" "Prkcdbp" "Prkcdbp" "Prkcdbp"
"6858" "Dnajc18" "Dnajc18" "Dnajc18"
"6859" "Mcm7" "Mcm7" "Mcm7"
"6860" "Hus1" "Hus1" "Hus1"
"6861" "Apaf1" "Apaf1" "Apaf1"
"6862" "Flt4" "Flt4" "Flt4"
"6863" "Adcy2" "Adcy2" "Adcy2"
"6864" "Smpd1" "Smpd1" "Smpd1"
"6865" "Dock6" "Dock6" "Dock6"
"6866" "Cdc42ep3" "Cdc42ep3" "Cdc42ep3"
"6867" "Rhcg" "Rhcg" "Rhcg"
"6868" "Hsd3b7" "Hsd3b7" "Hsd3b7"
"6869" "1700055N04Rik" "1700055N04Rik" "1700055N04Rik"
"6870" "1700055N04Rik" "Aldh3b2" "1700055N04Rik"
"6871" "Zbtb7a" "Zbtb7a" "Zbtb7a"
"6872" "Scd3" "Scd3" "Scd3"
"6873" "1700066B19Rik" "1700066B19Rik" "1700066B19Rik"
"6874" "Emb" "Emb" "Emb"
"6875" "Pvrl2" "Pvrl2" "Pvrl2"
"6876" "Sema5b" "Sema5b" "Sema5b"
"6877" "2310044G17Rik" "2310044G17Rik" "2310044G17Rik"
"6878" "Sycn" "Sycn" "Sycn"
"6879" "Abi2" "Abi2" "Abi2"
"6880" "Mia3" "Mia3" "Mia3"
"6881" "Gpr37" "Gpr37" "Gpr37"
"6882" "Scd2" "Scd2" "Scd2"
"6883" "Zdhhc22" "Zdhhc22" "Zdhhc22"
"6884" "Itch" "Itch" "Itch"
"6885" "Cyp1b1" "Cyp1b1" "Cyp1b1"
"6886" "Slc5a1" "Slc5a1" "Slc5a1"
"6887" "Spock3" "Spock3" "Spock3"
"6888" "Apbb1" "Apbb1" "Apbb1"
"6889" "Clec12a" "Clec12a" "Clec12a"
"6890" "Tssk4" "Tssk4" "Tssk4"
"6891" "Rae1" "Rae1" "Rae1"
"6892" "Map3k15" "Map3k15" "Map3k15"
"6893" "Scd4" "Scd4" "Scd4"
"6894" "Zcchc4" "Zcchc4" "Zcchc4"
"6895" "Taf1a" "Taf1a" "Taf1a"
"6896" "Aldh3b2" "Aldh3b2" "Aldh3b2"
"6897" "Tmem63c" "Tmem63c" "Tmem63c"
"6898" "Pias4" "Pias4" "Pias4"
"6899" "Syt7" "Syt7" "Syt7"
"6900" "Scd1" "Scd1" "Scd1"
"6901" "Gtse1" "Gtse1" "Gtse1"
"6902" "Bcam" "Bcam" "Bcam"
"6903" "Raph1" "Raph1" "Raph1"
"6904" "Pim1" "Pim1" "Pim1"
"6905" "Dtx3" "Dtx3" "Dtx3"
"6906" "Acy3" "Acy3" "Acy3"
"6907" "B3galt6" "B3galt6" "B3galt6"
"6908" "Dusp10" "Dusp10" "Dusp10"
"6909" "Sorbs3" "Sorbs3" "Sorbs3"
"6910" "Tbx10" "Tbx10" "Tbx10"
"6911" "Pak4" "Pak4" "Pak4"
"6912" "Wnt8b" "Wnt8b" "Wnt8b"
"6913" "Trmu" "Trmu" "Trmu"
"6914" "Sdf4" "Sdf4" "Sdf4"
"6915" "Rpe65" "Rpe65" "Rpe65"
"6916" "1700056E22Rik" "1700056E22Rik" "1700056E22Rik"
"6917" "Dirc2" "Dirc2" "Dirc2"
"6918" "Hnrpll" "Hnrpll" "Hnrpll"
"6919" "Angptl1" "Angptl1" "Angptl1"
"6920" "Bcl9" "Bcl9" "Bcl9"
"6921" "Plcxd1" "Plcxd1" "Plcxd1"
"6922" "Tbc1d22b" "Tbc1d22b" "Tbc1d22b"
"6923" "Coch" "Coch" "Coch"
"6924" "Ptprd" "Ptprd" "Ptprd"
"6925" "Pdha1" "Pdha1" "Pdha1"
"6926" "Alkbh8" "Alkbh8" "Alkbh8"
"6927" "Ddx20" "Ddx20" "Ddx20"
"6928" "Csrp2" "Csrp2" "Csrp2"
"6929" "Ccdc92" "Ccdc92" "Ccdc92"
"6930" "C330005M16Rik" "C330005M16Rik" "C330005M16Rik"
"6931" "Upf3b" "Upf3b" "Upf3b"
"6932" "Trim3" "Trim3" "Trim3"
"6933" "Rmnd5a" "Rmnd5a" "Rmnd5a"
"6934" "Chrnd" "Chrnd" "Chrnd"
"6935" "Galm" "Galm" "Galm"
"6936" "Nfix" "Nfix" "Nfix"
"6937" "Scgb3a1" "Scgb3a1" "Scgb3a1"
"6938" "Stx4a" "Stx4a" "Stx4a"
"6939" "Hspbap1" "Hspbap1" "Hspbap1"
"6940" "Zdhhc17" "Zdhhc17" "Zdhhc17"
"6941" "Nudt8" "Nudt8" "Nudt8"
"6942" "Cd28" "Cd28" "Cd28"
"6943" "Fbxo22" "Fbxo22" "Fbxo22"
"6944" "Snrpd3" "Snrpd3" "Snrpd3"
"6945" "Cbfb" "Cbfb" "Cbfb"
"6946" "Acad9" "Acad9" "Acad9"
"6947" "Strn3" "Strn3" "Strn3"
"6948" "Gm1564" "Gm1564" "Gm1564"
"6949" "Chrng" "Chrng" "Chrng"
"6950" "Gtpbp6" "Gtpbp6" "Gtpbp6"
"6951" "Clec1b" "Clec1b" "Clec1b"
"6952" "Rab6b" "Rab6b" "Rab6b"
"6953" "Prdx1" "Prdx1" "Prdx1"
"6954" "Cblc" "Cblc" "Cblc"
"6955" "Ngb" "Ngb" "Ngb"
"6956" "Parp14" "Parp14" "Parp14"
"6957" "Rfwd3" "Rfwd3" "Rfwd3"
"6958" "Slc6a16" "Slc6a16" "Slc6a16"
"6959" "1700034O15Rik" "1700034O15Rik" "1700034O15Rik"
"6960" "Ddb2" "Ddb2" "Ddb2"
"6961" "Bloc1s1" "Bloc1s1" "Bloc1s1"
"6962" "Cnot6" "Cnot6" "Cnot6"
"6963" "Ctla4" "Ctla4" "Ctla4"
"6964" "Fcna" "Fcna" "Fcna"
"6965" "Srprb" "Srprb" "Srprb"
"6966" "Gatad2b" "Gatad2b" "Gatad2b"
"6967" "Dlx5" "Dlx5" "Dlx5"
"6968" "Ppih" "Ppih" "Ppih"
"6969" "Cidec" "Cidec" "Cidec"
"6970" "Dusp2" "Dusp2" "Dusp2"
"6971" "Pomt2" "Pomt2" "Pomt2"
"6972" "Kel" "Kel" "Kel"
"6973" "Pygb" "Pygb" "Pygb"
"6974" "Zfp668" "Zfp668" "Zfp668"
"6975" "Rasal2" "Rasal2" "Rasal2"
"6976" "Eif4e2" "Eif4e2" "Eif4e2"
"6977" "C130074G19Rik" "C130074G19Rik" "C130074G19Rik"
"6978" "Celsr1" "Celsr1" "Celsr1"
"6979" "Zfp664" "Zfp664" "Zfp664"
"6980" "Slc27a3" "Slc27a3" "Slc27a3"
"6981" "Shc2" "Shc2" "Shc2"
"6982" "1810011O10Rik" "1810011O10Rik" "1810011O10Rik"
"6983" "Grm8" "Grm8" "Grm8"
"6984" "Ppp3cc" "Ppp3cc" "Ppp3cc"
"6985" "Mdm1" "Mdm1" "Mdm1"
"6986" "Nrg4" "Nrg4" "Nrg4"
"6987" "Grtp1" "Grtp1" "Grtp1"
"6988" "Mark1" "Mark1" "Mark1"
"6989" "Pdcd6ip" "Pdcd6ip" "Pdcd6ip"
"6990" "Acn9" "Acn9" "Acn9"
"6991" "Atrn" "Atrn" "Atrn"
"6992" "Dtx3l" "Dtx3l" "Dtx3l"
"6993" "Rbm38" "Rbm38" "Rbm38"
"6994" "Fbxo27" "Fbxo27" "Fbxo27"
"6995" "Nedd8" "Nedd8" "Nedd8"
"6996" "Prlr" "Prlr" "Prlr"
"6997" "Gemin6" "Gemin6" "Gemin6"
"6998" "Lnp" "Lnp" "Lnp"
"6999" "Pqlc1" "Pqlc1" "Pqlc1"
"7000" "Mecp2" "Mecp2" "Mecp2"
"7001" "Asgr1" "Asgr1" "Asgr1"
"7002" "Kif5b" "Kif5b" "Kif5b"
"7003" "Dnajc3" "Dnajc3" "Dnajc3"
"7004" "Serpinb6c" "Serpinb6c" "Serpinb6c"
"7005" "Lmo4" "Lmo4" "Lmo4"
"7006" "Slc39a14" "Slc39a14" "Slc39a14"
"7007" "Icos" "Icos" "Icos"
"7008" "Rnf8" "Rnf8" "Rnf8"
"7009" "4931429L15Rik" "4931429L15Rik" "4931429L15Rik"
"7010" "Rab3gap2" "Rab3gap2" "Rab3gap2"
"7011" "Garnl3" "Garnl3" "Garnl3"
"7012" "Dhx57" "Dhx57" "Dhx57"
"7013" "Itga7" "Itga7" "Itga7"
"7014" "BC026585" "BC026585" "BC026585"
"7015" "Parp9" "Parp9" "Parp9"
"7016" "Neurod2" "Neurod2" "Neurod2"
"7017" "Hacl1" "Hacl1" "Hacl1"
"7018" "Gfpt2" "Gfpt2" "Gfpt2"
"7019" "Col12a1" "Col12a1" "Col12a1"
"7020" "Arfip2" "Arfip2" "Arfip2"
"7021" "Ctrc" "Ctrc" "Ctrc"
"7022" "Ivd" "Ivd" "Ivd"
"7023" "Kif7" "Kif7" "Kif7"
"7024" "Mef2d" "Mef2d" "Mef2d"
"7025" "Slc35d1" "Slc35d1" "Slc35d1"
"7026" "D3Ertd254e" "D3Ertd254e" "D3Ertd254e"
"7027" "Vkorc1" "Vkorc1" "Vkorc1"
"7028" "Gpr64" "Gpr64" "Gpr64"
"7029" "Ppp1r1b" "Ppp1r1b" "Ppp1r1b"
"7030" "Gm20425" "Srprb" "Gm20425"
"7031" "Cxxc5" "Cxxc5" "Cxxc5"
"7032" "Ap4m1" "Ap4m1" "Ap4m1"
"7033" "Bckdk" "Bckdk" "Bckdk"
"7034" "Doc2g" "Doc2g" "Doc2g"
"7035" "Ggt1" "Ggt1" "Ggt1"
"7036" "Fbxo17" "Fbxo17" "Fbxo17"
"7037" "Ero1l" "Ero1l" "Ero1l"
"7038" "Asgr2" "Asgr2" "Asgr2"
"7039" "Pck1" "Pck1" "Pck1"
"7040" "Tinf2" "Tinf2" "Tinf2"
"7041" "Mrps12" "Mrps12" "Mrps12"
"7042" "Ap4s1" "Ap4s1" "Ap4s1"
"7043" "Nrbp2" "Nrbp2" "Nrbp2"
"7044" "Akap14" "Akap14" "Akap14"
"7045" "Ubiad1" "Ubiad1" "Ubiad1"
"7046" "Rnf103" "Rnf103" "Rnf103"
"7047" "Ccdc43" "Ccdc43" "Ccdc43"
"7048" "Olfr459" "Olfr459" "Olfr459"
"7049" "Col11a1" "Col11a1" "Col11a1"
"7050" "Mug1" "Mug1" "Mug1"
"7051" "Ndufa1" "Ndufa1" "Ndufa1"
"7052" "Ndufb8" "Ndufb8" "Ndufb8"
"7053" "Ints3" "Ints3" "Ints3"
"7054" "Tktl1" "Tktl1" "Tktl1"
"7055" "6530409C15Rik" "6530409C15Rik" "6530409C15Rik"
"7056" "Ndufv1" "Ndufv1" "Ndufv1"
"7057" "Morn2" "Morn2" "Morn2"
"7058" "Jagn1" "Jagn1" "Jagn1"
"7059" "Gstz1" "Gstz1" "Gstz1"
"7060" "D230025D16Rik" "D230025D16Rik" "D230025D16Rik"
"7061" "Cwf19l2" "Cwf19l2" "Cwf19l2"
"7062" "Upp1" "Upp1" "Upp1"
"7063" "Iars2" "Iars2" "Iars2"
"7064" "Kpna1" "Kpna1" "Kpna1"
"7065" "Bcl3" "Bcl3" "Bcl3"
"7066" "Adprhl1" "Adprhl1" "Adprhl1"
"7067" "Mdga1" "Mdga1" "Mdga1"
"7068" "Mlkl" "Mlkl" "Mlkl"
"7069" "Hectd1" "Hectd1" "Hectd1"
"7070" "Exoc4" "Exoc4" "Exoc4"
"7071" "Mgl2" "Mgl2" "Mgl2"
"7072" "Chfr" "Chfr" "Chfr"
"7073" "Il17re" "Il17re" "Il17re"
"7074" "Madcam1" "Madcam1" "Madcam1"
"7075" "Gm9" "Gm9" "Gm9"
"7076" "Hif1an" "Hif1an" "Hif1an"
"7077" "Tmem138" "Tmem138" "Tmem138"
"7078" "Psd2" "Psd2" "Psd2"
"7079" "Prss8" "Prss8" "Prss8"
"7080" "Tac1" "Tac1" "Tac1"
"7081" "Sos1" "Sos1" "Sos1"
"7082" "BC024139" "BC024139" "BC024139"
"7083" "Taf6" "Taf6" "Taf6"
"7084" "Mmachc" "Mmachc" "Mmachc"
"7085" "Mapk9" "Mapk9" "Mapk9"
"7086" "Pex11a" "Pex11a" "Pex11a"
"7087" "Rpl27-ps3" "Rpl27" "Rpl27-ps3"
"7088" "Gfpt1" "Gfpt1" "Gfpt1"
"7089" "Serpinb6a" "Serpinb6a" "Serpinb6a"
"7090" "Tll1" "Tll1" "Tll1"
"7091" "Dip2c" "Dip2c" "Dip2c"
"7092" "Trpm4" "Trpm4" "Trpm4"
"7093" "Nsun2" "Nsun2" "Nsun2"
"7094" "Golt1b" "Golt1b" "Golt1b"
"7095" "Pip" "Pip" "Pip"
"7096" "Pacsin3" "Pacsin3" "Pacsin3"
"7097" "Osbpl8" "Osbpl8" "Osbpl8"
"7098" "Prss36" "Prss36" "Prss36"
"7099" "Dak" "Dak" "Dak"
"7100" "Cerk" "Cerk" "Cerk"
"7101" "Olfr1402" "Olfr1402" "Olfr1402"
"7102" "Asns" "Asns" "Asns"
"7103" "Tmed8" "Tmed8" "Tmed8"
"7104" "Zfand3" "Zfand3" "Zfand3"
"7105" "Wdr5b" "Wdr5b" "Wdr5b"
"7106" "Sval2" "Sval2" "Sval2"
"7107" "Rhox1" "Rhox1" "Rhox1"
"7108" "Spon2" "Spon2" "Spon2"
"7109" "4632428N05Rik" "4632428N05Rik" "4632428N05Rik"
"7110" "Cdkl4" "Cdkl4" "Cdkl4"
"7111" "Chd1l" "Chd1l" "Chd1l"
"7112" "Astn1" "Astn1" "Astn1"
"7113" "Dcun1d4" "Dcun1d4" "Dcun1d4"
"7114" "Cdc34" "Cdc34" "Cdc34"
"7115" "Epc1" "Epc1" "Epc1"
"7116" "Astl" "Astl" "Astl"
"7117" "Ccdc58" "Ccdc58" "Ccdc58"
"7118" "Ctbp1" "Ctbp1" "Ctbp1"
"7119" "Ncor2" "Ncor2" "Ncor2"
"7120" "Rap1a" "Rap1a" "Rap1a"
"7121" "Pax2" "Pax2" "Pax2"
"7122" "Btbd9" "Btbd9" "Btbd9"
"7123" "Map4k3" "Map4k3" "Map4k3"
"7124" "Tgm1" "Tgm1" "Tgm1"
"7125" "Bpnt1" "Bpnt1" "Bpnt1"
"7126" "Zbp1" "Zbp1" "Zbp1"
"7127" "Anapc4" "Anapc4" "Anapc4"
"7128" "Tbc1d22a" "Tbc1d22a" "Tbc1d22a"
"7129" "Fus" "Fus" "Fus"
"7130" "Efhd1" "Efhd1" "Efhd1"
"7131" "2010005H15Rik" "2010005H15Rik" "2010005H15Rik"
"7132" "Trp53bp1" "Trp53bp1" "Trp53bp1"
"7133" "Ctdp1" "Ctdp1" "Ctdp1"
"7134" "Sval1" "Sval1" "Sval1"
"7135" "Glo1" "Glo1" "Glo1"
"7136" "Sorl1" "Sorl1" "Sorl1"
"7137" "Flna" "Flna" "Flna"
"7138" "Chmp6" "Chmp6" "Chmp6"
"7139" "Thumpd2" "Thumpd2" "Thumpd2"
"7140" "Hsdl2" "Hsdl2" "Hsdl2"
"7141" "B230216G23Rik" "B230216G23Rik" "B230216G23Rik"
"7142" "Polg2" "Polg2" "Polg2"
"7143" "Lcn8" "Lcn8" "Lcn8"
"7144" "Clec9a" "Clec9a" "Clec9a"
"7145" "Rabggta" "Rabggta" "Rabggta"
"7146" "Atp1b3" "Atp1b3" "Atp1b3"
"7147" "Rab3d" "Rab3d" "Rab3d"
"7148" "Atp5h" "Atp5h" "Atp5h"
"7149" "Abi1" "Abi1" "Abi1"
"7150" "Sars2" "Sars2" "Sars2"
"7151" "Fa2h" "Fa2h" "Fa2h"
"7152" "Eprs" "Eprs" "Eprs"
"7153" "Rasgef1c" "Rasgef1c" "Rasgef1c"
"7154" "Slc8a1" "Slc8a1" "Slc8a1"
"7155" "Hrc" "Hrc" "Hrc"
"7156" "Dnahc8" "Dnahc8" "Dnahc8"
"7157" "Rhox4b" "Rhox4b" "Rhox4b"
"7158" "Casr" "Casr" "Casr"
"7159" "Slc16a11" "Slc16a11" "Slc16a11"
"7160" "Adam18" "Adam18" "Adam18"
"7161" "Agxt2" "Agxt2" "Agxt2"
"7162" "Zbed3" "Zbed3" "Zbed3"
"7163" "Anxa5" "Anxa5" "Anxa5"
"7164" "Rhbg" "Rhbg" "Rhbg"
"7165" "Ceacam19" "Ceacam19" "Ceacam19"
"7166" "Kif5a" "Kif5a" "Kif5a"
"7167" "Gstp1" "Gstp1" "Gstp1"
"7168" "Abca13" "Abca13" "Abca13"
"7169" "Plau" "Plau" "Plau"
"7170" "Ifng" "Ifng" "Ifng"
"7171" "Golga3" "Golga3" "Golga3"
"7172" "Adora3" "Adora3" "Adora3"
"7173" "Pappa2" "Pappa2" "Pappa2"
"7174" "Sin3b" "Sin3b" "Sin3b"
"7175" "Nfkbib" "Nfkbib" "Nfkbib"
"7176" "Aggf1" "Aggf1" "Aggf1"
"7177" "Gys2" "Gys2" "Gys2"
"7178" "Hcn1" "Hcn1" "Hcn1"
"7179" "Bsg" "Bsg" "Bsg"
"7180" "Mesp1" "Mesp1" "Mesp1"
"7181" "Pvr" "Pvr" "Pvr"
"7182" "Rnf130" "Rnf130" "Rnf130"
"7183" "Dynlrb1" "Dynlrb1" "Dynlrb1"
"7184" "Phka2" "Phka2" "Phka2"
"7185" "Vcl" "Vcl" "Vcl"
"7186" "Dyrk2" "Dyrk2" "Dyrk2"
"7187" "Cd86" "Cd86" "Cd86"
"7188" "Mesp2" "Mesp2" "Mesp2"
"7189" "Slc16a13" "Slc16a13" "Slc16a13"
"7190" "Tas2r139" "Tas2r139" "Tas2r139"
"7191" "Cand1" "Cand1" "Cand1"
"7192" "Tmco3" "Tmco3" "Tmco3"
"7193" "Lcn5" "Lcn5" "Lcn5"
"7194" "Rnf7" "Rnf7" "Rnf7"
"7195" "Gucy1a2" "Gucy1a2" "Gucy1a2"
"7196" "Eml4" "Eml4" "Eml4"
"7197" "Dctn2" "Dctn2" "Dctn2"
"7198" "Reep1" "Reep1" "Reep1"
"7199" "Zmynd11" "Zmynd11" "Zmynd11"
"7200" "Anpep" "Anpep" "Anpep"
"7201" "Stard3" "Stard3" "Stard3"
"7202" "Tas2r144" "Tas2r144" "Tas2r144"
"7203" "Gstk1" "Gstk1" "Gstk1"
"7204" "Sirt2" "Sirt2" "Sirt2"
"7205" "Eef2" "Eef2" "Eef2"
"7206" "Muc15" "Muc15" "Muc15"
"7207" "Pycard" "Pycard" "Pycard"
"7208" "Tbc1d9b" "Tbc1d9b" "Tbc1d9b"
"7209" "Aasdhppt" "Aasdhppt" "Aasdhppt"
"7210" "Rfwd2" "Rfwd2" "Rfwd2"
"7211" "I830077J02Rik" "I830077J02Rik" "I830077J02Rik"
"7212" "Wdr59" "Wdr59" "Wdr59"
"7213" "Bcl6b" "Bcl6b" "Bcl6b"
"7214" "Ceacam20" "Ceacam20" "Ceacam20"
"7215" "Gpr33" "Gpr33" "Gpr33"
"7216" "Trim72" "Trim72" "Trim72"
"7217" "4921539E11Rik" "4921539E11Rik" "4921539E11Rik"
"7218" "Rasa2" "Rasa2" "Rasa2"
"7219" "Clec1a" "Clec1a" "Clec1a"
"7220" "Slc30a10" "Slc30a10" "Slc30a10"
"7221" "Hs6st3" "Hs6st3" "Hs6st3"
"7222" "Sema4g" "Sema4g" "Sema4g"
"7223" "Oxgr1" "Oxgr1" "Oxgr1"
"7224" "Cpe" "Cpe" "Cpe"
"7225" "Trf" "Trf" "Trf"
"7226" "Lyplal1" "Lyplal1" "Lyplal1"
"7227" "Efhd2" "Efhd2" "Efhd2"
"7228" "Atp5f1" "Atp5f1" "Atp5f1"
"7229" "Mettl7b" "Mettl7b" "Mettl7b"
"7230" "Mbnl2" "Mbnl2" "Mbnl2"
"7231" "Tmem139" "Tmem139" "Tmem139"
"7232" "Tgfb2" "Tgfb2" "Tgfb2"
"7233" "Exoc5" "Exoc5" "Exoc5"
"7234" "Ildr1" "Ildr1" "Ildr1"
"7235" "Tnr" "Tnr" "Tnr"
"7236" "Rab22a" "Rab22a" "Rab22a"
"7237" "Olr1" "Olr1" "Olr1"
"7238" "Zdhhc25" "Zdhhc25" "Zdhhc25"
"7239" "Mbd6" "Mbd6" "Mbd6"
"7240" "Mrpl35" "Mrpl35" "Mrpl35"
"7241" "Casp2" "Casp2" "Casp2"
"7242" "Vwce" "Vwce" "Vwce"
"7243" "Ddx5" "Ddx5" "Ddx5"
"7244" "Fhad1" "Fhad1" "Fhad1"
"7245" "Exosc9" "Exosc9" "Exosc9"
"7246" "D1Pas1" "D1Pas1" "D1Pas1"
"7247" "Rab11a" "Rab11a" "Rab11a"
"7248" "4921524L21Rik" "4921524L21Rik" "4921524L21Rik"
"7249" "Apeh" "Apeh" "Apeh"
"7250" "Spata17" "Spata17" "Spata17"
"7251" "Brd1" "Brd1" "Brd1"
"7252" "Tfdp1" "Tfdp1" "Tfdp1"
"7253" "Adam11" "Adam11" "Adam11"
"7254" "Pga5" "Pga5" "Pga5"
"7255" "Rab18" "Rab18" "Rab18"
"7256" "BC021614" "BC021614" "BC021614"
"7257" "Hcn2" "Hcn2" "Hcn2"
"7258" "Maea" "Maea" "Maea"
"7259" "Ap3m1" "Ap3m1" "Ap3m1"
"7260" "1700010B08Rik" "1700010B08Rik" "1700010B08Rik"
"7261" "Ilk" "Ilk" "Ilk"
"7262" "Ppef1" "Ppef1" "Ppef1"
"7263" "Vps37c" "Vps37c" "Vps37c"
"7264" "Mkx" "Mkx" "Mkx"
"7265" "Immt" "Immt" "Immt"
"7266" "0610010K14Rik" "0610010K14Rik" "0610010K14Rik"
"7267" "Lphn2" "Lphn2" "Lphn2"
"7268" "3010026O09Rik" "3010026O09Rik" "3010026O09Rik"
"7269" "Cox7a2l" "Cox7a2l" "Cox7a2l"
"7270" "Sc4mol" "Sc4mol" "Sc4mol"
"7271" "Ap3s2" "Ap3s2" "Ap3s2"
"7272" "Arhgap5" "Arhgap5" "Arhgap5"
"7273" "Ptafr" "Ptafr" "Ptafr"
"7274" "Tnn" "Tnn" "Tnn"
"7275" "Itgam" "Itgam" "Itgam"
"7276" "Kcng3" "Kcng3" "Kcng3"
"7277" "Nfatc1" "Nfatc1" "Nfatc1"
"7278" "Fgf10" "Fgf10" "Fgf10"
"7279" "Cd5" "Cd5" "Cd5"
"7280" "Kbtbd3" "Kbtbd3" "Kbtbd3"
"7281" "Antxr1" "Antxr1" "Antxr1"
"7282" "Slc15a2" "Slc15a2" "Slc15a2"
"7283" "Lyl1" "Lyl1" "Lyl1"
"7284" "Dctn6" "Dctn6" "Dctn6"
"7285" "Akap6" "Akap6" "Akap6"
"7286" "Npr1" "Npr1" "Npr1"
"7287" "Frmpd1" "Frmpd1" "Frmpd1"
"7288" "Tesk2" "Tesk2" "Tesk2"
"7289" "Emd" "Emd" "Emd"
"7290" "Sqstm1" "Sqstm1" "Sqstm1"
"7291" "Sgcb" "Sgcb" "Sgcb"
"7292" "4930430A15Rik" "4930430A15Rik" "4930430A15Rik"
"7293" "Mrpl43" "Mrpl43" "Mrpl43"
"7294" "Kctd2" "Kctd2" "Kctd2"
"7295" "2610034B18Rik" "2610034B18Rik" "2610034B18Rik"
"7296" "Vapb" "Vapb" "Vapb"
"7297" "Bsn" "Bsn" "Bsn"
"7298" "Peo1" "Peo1" "Peo1"
"7299" "Gstcd" "Gstcd" "Gstcd"
"7300" "Mta3" "Mta3" "Mta3"
"7301" "Zbed4" "Zbed4" "Zbed4"
"7302" "Map1lc3a" "Map1lc3a" "Map1lc3a"
"7303" "E130308A19Rik" "E130308A19Rik" "E130308A19Rik"
"7304" "Tnfrsf18" "Tnfrsf18" "Tnfrsf18"
"7305" "Sc5d" "Sc5d" "Sc5d"
"7306" "Mrps14" "Mrps14" "Mrps14"
"7307" "Rad1" "Rad1" "Rad1"
"7308" "Lzts2" "Lzts2" "Lzts2"
"7309" "Esrrg" "Esrrg" "Esrrg"
"7310" "Glp1r" "Glp1r" "Glp1r"
"7311" "Eya3" "Eya3" "Eya3"
"7312" "Gria4" "Gria4" "Gria4"
"7313" "Nhsl1" "Nhsl1" "Nhsl1"
"7314" "Cacybp" "Cacybp" "Cacybp"
"7315" "Baiap2" "Baiap2" "Baiap2"
"7316" "Spata18" "Spata18" "Spata18"
"7317" "Fmo5" "Fmo5" "Fmo5"
"7318" "Alg12" "Alg12" "Alg12"
