"gene name","entrez"
"2210021J22Rik","68441448",
"Phf15","69289709",
"Fgfrl1","75861795",
"8430406I07Rik","70429142",
"Cenpj","69548813",
"Darc","68196978",
"LOC433649","71456126",
"Vps45","513015",
"Gm10283","71808680",
"Amtn","71892256",
"Trim17","69113919",
"Mphosph6","68269052",
"F10","632503",
"BC027092","71724834",
"Man1a","75496131",
"Timp1","68668108",
"9930023K05Rik","69013420",
"Rps20","70795718",
"Lmod2","70295506",
"Ptprc","71378437",
"Ninj2","69782270",
"Ppp6c","71210376",
"Stard10","72002106",
"C130022K22Rik","70528402",
"Ndufv1","69015572",
"Prkcq","69817324",
"Pdzrn3","68269267",
"2610301B20Rik","68745060",
"Mafb","71608445",
"Plxna2","69013510",
"4631405J19Rik","70723259",
"Epn3","72283755",
"Thpo","2672",
"Ddx26b","70528109",
"Fam134a","386010",
"Ltv1","69202830",
"Pla2g6","80341093",
"Serpina10","68499201",
"Phf16","69783083",
"4933425O20Rik","69114652",
"Mrps26","69113841",
"C1qtnf2","68162211",
"Ankrd29","71495765",
"Angpt2","68633002",
"Cct7","81600108",
"Palm2","71668990",
"Pisd-ps3","71211701",
"0610009L18Rik","74300825",
"Tmem86b","71212506",
"0610010K14Rik","69134379",
"2610204G22Rik","75934922",
"Srcrb4d","70302258",
"Prdm15","73514833",
"Ttyh2","70946147",
"Cerk","69548852",
"BC052040","71393322",
"Trim23","70192051",
"Vmn1r24","70785236",
"Brca1","75988313",
"Trip6","71991846",
"F930037H19Rik*","73767335",
"Tbc1d23","68638125",
"Pik3c2g","73514815",
"Olfr700","73653488",
"Abcd3","70528163",
"Ddhd1","69838392",
"B330016D10Rik","75197540",
"Rfx1","896",
"Murc","74635343",
"Spryd3","69528112",
"Kif6","69735807",
"Tbp","71456129",
"Ddx5","342",
"Prkra","564761",
"Grk4","70724762",
"Rad51ap1","632505",
"Polr2h","68191474",
"Syncrip","1392",
"Prelid2","70231929",
"Nup54","71234694",
"Rpl28","69173436",
"Svs1","70302294",
"Olfr640","73653470",
"Txnrd3","70192165",
"B230315N10Rik","68632094",
"1700025B11Rik","71919625",
"Dnaja1","70528611",
"Egln3","68196934",
"L3mbtl","69289309",
"Chd4","68745036",
"H2afy2","68745450",
"Chst3","69014500",
"Tnfrsf10b","70302551",
"Pnrc1","2502",
"B3galt4","69527902",
"Fam35a","70609809",
"Pigc","413816",
"Orai3","70593113",
"Rtf1","69734821",
"Naa30","71656689",
"Myh4","68744086",
"Tufm","70919651",
"Tanc2","73906071",
"Rbm44","71668563",
"Olfr1350","74720747",
"Vps29","76097708",
"Tm7sf2","69015494",
"Slc44a5","74514162",
"Drg2","73606688",
"Hint1","69735001",
"Dcn","331",
"Chst7","556996",
"D930029H24Rik*","73834475",
"Nicn1","71608209",
"Gm711","69114567",
"Pla2g4a","68076543",
"Ror1","69818260",
"LOC436510","71022708",
"Dll1","77454727",
"Sult1a1","75774641",
"Pafah1b2","70812942",
"Tex14","69980292",
"Chl1","71496294",
"Lman2","68924449",
"Pdlim7","70813197",
"Gm5563","72076521",
"2310030G06Rik","68545207",
"Tex15","69980298",
"Ssbp4","68076537",
"U46068","70194462",
"BC067074","69529238",
"Chtf8","70445520",
"Tgfb3","2668",
"LOC432406","70608448",
"LOC434398","74510098",
"Rbm26","70474839",
"Gpr125","69257427",
"Fam151b","74426888",
"R3hdm2","69353203",
"LOC436050","71022651",
"Chd2","71152617",
"A930002H24Rik","73584879",
"Fam46d","70295667",
"Nus1","74581265",
"Ric3","74514135",
"Pdpn","71789777",
"Pcolce","69782867",
"Olfr1231","74720651",
"Scand1","2550",
"Timm50","68077012",
"E030030I06Rik","70238973",
"Vps28","68321662",
"Tspan8","71608210",
"Dhdpsl","70524282",
"0610007P08Rik","68523288",
"Tmem140","68341800",
"Rspo4","69514464",
"Klf14","69443343",
"Tnnt1","74821765",
"Elovl1","69671989",
"Rpl32","69012729",
"Stra13","71992055",
"Zbbx","69529155",
"Chrna7","69237107",
"Pi16","73423938",
"Lipm","69549277",
"Tgm1","68498445",
"Itgb2l","69735622",
"C230086J09Rik","71735076",
"F5","69672198",
"4933434I20Rik","71891946",
"Usp3","69080505",
"Zfp74","75991080",
"Ermap","68844875",
"Ssbp3","74635614",
"8430423G03Rik","71892340",
"Brd9","69526540",
"Nod1","75831732",
"2410001C21Rik","70429112",
"Tmsb4x","77792010",
"Tmed7","70813095",
"9030414G15Rik*","73808219",
"Dqx1","69134316",
"Zfp511","76081043",
"Xbp1","1121",
"Entpd1","68301640",
"Il7r","69735437",
"Atp5b","70528264",
"Tsen15","71723833",
"Chst2","267",
"Dnase2b","71587565",
"Mat2a","67978473",
"Fam160a1","72182948",
"Kcne4","68545929",
"Ston2","70717363",
"Rgr","73712732",
"Asb2","71283613",
"Cdx1","130534",
"Gli2","69289063",
"Tspyl3","69104156",
"Coasy","69169487",
"Gen1","71493783",
"Dab2","68443015",
"Itpr2","70812805",
"6030422M02Rik","70227866",
"LOC433092","74431733",
"Pcbp4","68196977",
"AW822252","71808588",
"Zyg11a","71574510",
"Otud4","69626570",
"Slc5a2","77792841",
"Mrpl1","70813269",
"Tinagl1","68269290",
"Zfp775","70593180",
"Hcrtr1","1216",
"Slc39a9","69873965",
"Fam194a","80471943",
"Zcchc16","73906203",
"Slc11a1","69816870",
"Tdh","68667025",
"9030404E10Rik","70305138",
"Cd6","323181",
"2310058D17Rik","71148211",
"Cenpa","68301156",
"Fam89a","69202418",
"Egr2","69288926",
"Nras","68745000",
"LOC434409","70725597",
"Ip6k2","69170240",
"6330581N18Rik","70717370",
"LOC432938","70611413",
"A830054O04Rik","69514386",
"Svopl","69835609",
"Gne","75694864",
"D9Ertd402e","70300007",
"Id3","81654091",
"Ms4a10","74635247",
"LOC433525","74579449",
"Tmem169","70717977",
"2810403A07Rik","71493087",
"9330178D15Rik","70305162",
"Tox3","69549609",
"mCG147019","71212500",
"Fam36a","71456150",
"Elk4","69288938",
"Sox5","1286",
"Ccdc22","68301951",
"Abcb11","76003608",
"Cgrrf1","678708",
"Fam101a","68797762",
"Tle1","1062",
